Multi-syllable words with doubled consonant letters

'connecting': KEBGT/-G
'amiss': A/PHEUS
'discussions': SKUGS/-S
'Harrison': HAR/SO*PB
'appealing': AEP/-G
'insufficient': EUPB/SUF
'mutton': PHUT/O*PB
'Otto': OT/TOE
'apparition': AP/REUGS
'lifeless': HRAOEUF/-LS
'gracefully': TKPWRAEUS/-FL/HREU
'commend': KPHEPBD
'connect': KEBGT
'tunnel': TUPBL
'puzzle': PUFL
'physically': TPEUS/HREU
'brilliancy': PWREUL/KWRAPBS/KWREU
'Phillips': TPEUL/EUPS
'shipping': SHEUPG
'regardless': RARLD
'fearfully': TPAOER/TPHREU
'comments': KPHEPBTS
'whiteness': WHAOEUT/-PBS
'colleagues': KHRAOEGS
'concession': KAUPB/SEGS
'dissatisfied': TKEUS/SAED
'Buddha': PWUD/TKA
'offense': OFPBS
'accorded': A/KORD/-D
'speechless': SPAOEFP/-LS
'eccentric': SKEPBT/REUBG
'annals': APBLS
'Burroughs': PWUR/ROES
'correspond': KOER
'embassy': EPL/PWAES
'essays': SA*ES
'dismiss': STKPHEUS
'apparel': A/PAEURL
'carelessness': KAEURLS/-PBS
'affectation': AFBG/TAEUGS
'connections': KEBGS/-S
'colossal': KHROFL
'rubber': RAOURB
'nightfall': TPHAOEUGT/TPAUL
'skipper': SKEUP/ER
'exaggeration': KPAPBLG/RAEUGS
'ballad': PWAL/HRAD
'befall': PWE/TPAUL
'teddy': TED/TKEU
'summary': SUPL/REU
'colleges': KHREPBLGS
'dissolution': TKEUS/SHRAOUGS
'challenged': KHALGD
'joyfully': SKWROEUFL/HREU
'blindness': PWHRAOEUPBD/-PBS
'virtually': SREUR/WAEL
'Marshall': PHA*RBL
'excessively': KPES/EUFL
'recess': RE/SES
'alley': AL/KWREU
'softness': SOFT/-PBS
'spinning': SPEUPBG
'actress': ABGT/RES
'etiquette': ET/KET
'metallic': PHET/ALG
'accomplishments': PHREURB/-PLTS
'pudding': PUD/-G
'predecessor': PRED/SES/O*R
'slippery': SHREUP/REU
'Henrietta': HEPB/RET/TA
'Wellington': WELG/TOPB
'fullest': TPUL/EFT
'scaffold': SKAFLD
'flutter': TPHRUT/ER
'commotion': KPHOEGS
'renaissance': RAEPBS
'Clifford': KHREUFRD
'spelling': SPELG
'seriousness': SAOERS/-PBS
'usefulness': AOUS/-FL/-PBS
'forbidding': TPORBD/-G
