An Unwritten Novel

'pudding,': PUD/-G/KW-BG
'Bob;"': PWO*B/STPH*FPLT/KR-GS
'but': PWUT
'Hilda': HEUL/TKA
'disapproves.': TKEUS/A/PROFS/TP-PL
'"Why': KW-GS/KPA*/KWR
'should': SHO
'she': SHE
'twitch?"': TWEUFP/H-F/KR-GS
'Skip,': KPA/SKEUP/KW-BG
'skip,': SKEUP/KW-BG
'till': TEUL
'we': WE
'reach': RAOEFP
'the': -T
'landing': HRAPBD/-G
'on': OPB
'the': -T
'upper': AOURP
'floor;': TPHRAOR/STPH*FPLT
'stairs': STAEURS
'brass-bound;': PWRAS/H-PB/PWOUPBD/STPH*FPLT
'linoleum': HREUPB/OEL/KWRUPL
'worn;': WORPB/STPH*FPLT
'oh,': OERBGS
'yes!': KWRE/SKHRAPL
'little': HREUL
'bedroom': PW-PL
'looking': HRAOG
'out': OUT
'over': OEFR
'the': -T
'roofs': RAOFS
'of': -F
'Eastbourne—zigzagging': *EP/A*/S*/T*/PW*/O*/*U/R*/TPH*/*E/EPL/TKA*RB/S*EUG/SA*G/-G
'roofs': RAOFS
'like': HRAOEUBG
'the': -T
'spines': SPAOEUPB/-S
'of': -F
'caterpillars,': KAT/PHRAR/-S/KW-BG
'this': TH
'way,': WAEU/KW-BG
'that': THA
'way,': WAEU/KW-BG
'striped': STRAOEUPD
'red': RED
'and': SKP
'yellow,': KWREL/OE/KW-BG
'with': W
'blue-black': PWHRU/H-PB/PWHRABG
'slating].': SHRAEUT/-G/PWR*BGT/TP-PL
